鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
士林區,建物,臺北市士林區福國路91~120號,0.0,商,,,1071102,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680503,122.17999999999999,3,2,2,有,有,有,35000,286,,0.0,0,,RPQOMLMKJINFFEA77CC
北投區,建物,臺北市北投區大業路421~450號,0.0,住,,,1071109,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630602,86.93,3,2,1,有,無,有,18000,207,,0.0,0,台北市社會住宅包租代管計畫專案,RPSOMLMKJINFFEA97CC
文山區,建物,臺北市文山區興隆路一段55巷27弄1~30號,0.0,住,,,1071020,土地0建物1車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,,88.13,1,1,1,有,無,有,12000,136,,0.0,0,,RPQNMLMKJINFFAA27CC
文山區,建物,臺北市文山區政大二街215巷1~30號,0.0,住,,,1071023,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0920609,138.03,4,1,2,有,有,有,24000,174,,0.0,0,售價包含裝潢或家電。;,RPRNMLMKJINFFAA37CC
文山區,房地(土地+建物),臺北市文山區指南路三段24巷1~30號,0.0,住,,,1071106,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,81.24,3,2,1,有,無,有,18000,222,,0.0,0,有民情風俗因素之交易。;,RPPNMLNKJINFFAA37DC
大安區,建物,臺北市大安區和平東路三段121~150號,0.0,商,,,1071109,土地0建物1車位0,七層,12,辦公商業大樓,商業用,鋼筋混凝土造,0691117,131.95,0,0,0,無,有,無,37462,284,,0.0,0,,RPTNMLNKJINFFFA18CC
大安區,建物,臺北市大安區仁愛路四段211~240號,0.0,住,,,1071029,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670912,78.44999999999999,1,0,1,有,有,無,28500,363,,0.0,0,租金（稅外加）,RPQOMLNKJINFFFA97CC
北投區,建物,臺北市北投區公館路161巷31~60號,0.0,住,,,1070912,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041119,251.45,2,2,2,有,無,有,98763,393,坡道平面,0.0,0,,RPQNMLNKJINFFEA77CC
士林區,建物,臺北市士林區承德路四段181~210號,0.0,工,,,1071109,土地0建物1車位0,九層,11,辦公商業大樓,工業用,鋼筋混凝土造,0741227,170.94,2,0,2,有,有,無,47000,275,,0.0,0,,RPXNMLNKJINFFEA48CC
北投區,建物,臺北市北投區大同街188巷1~30號,0.0,住,,,1071112,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0590216,42.4,2,1,1,有,無,有,13000,307,,0.0,0,,RPOOMLNKJINFFEA67CC
北投區,建物,臺北市北投區大同街188巷1~30號,0.0,住,,,1071112,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0590216,50.12,2,1,1,有,無,有,15000,299,,0.0,0,,RPPOMLNKJINFFEA77CC
北投區,建物,臺北市北投區大同街188巷1~30號,0.0,住,,,1071112,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0590216,50.12,2,1,1,有,無,有,14000,279,,0.0,0,,RPQOMLNKJINFFEA87CC
北投區,建物,臺北市北投區大度路三段271~300號,0.0,住,,,1071025,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971013,46.81,1,1,1,有,有,有,19000,406,,0.0,0,租金含管理費,RPPPMLNKJINFFEA87CC
北投區,建物,臺北市北投區大度路三段301巷80弄31~60號,0.0,住,,,1071025,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0690419,146.19,4,3,2,有,有,有,28000,192,,0.0,0,租金含管理費,RPQPMLNKJINFFEA97CC
萬華區,建物,臺北市萬華區康定路91~120號,0.0,商,,,1071018,土地0建物1車位0,十二層,26,套房(1房1廳1衛),住家用,見其他登記事項,1050331,63.71,1,1,1,有,無,有,30000,471,,0.0,0,,RPWNMLNKJINFFBA08CC
大同區,建物,臺北市大同區南京西路61~90號,0.0,商,,,1071016,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951115,83.7,2,1,1,有,有,有,55000,657,,0.0,0,,RPOOMLNKJINFFBA37CC
松山區,建物,臺北市松山區南京東路五段211~240號,0.0,其他,,,1070924,土地0建物1車位0,十七層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980331,51.28,1,1,1,有,無,有,24000,468,,0.0,0,,RPWNMLNKJINFFDA28CC
松山區,建物,臺北市松山區民權東路三段151~180號,0.0,住,,,1071026,土地0建物3車位0,五層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,0711018,284.24,0,3,0,有,有,無,130000,457,,0.0,0,有三個門牌，租賃期間有免租金裝潢期,RPSOMLNKJINFFDA97CC
中山區,建物,臺北市中山區龍江路46巷1~30號,0.0,住,,,1071028,土地0建物1車位1,二層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0851021,286.83,4,2,2,有,有,有,125000,436,坡道平面,41.38,0,,RPOOMLNKJINFFCA47CC
內湖區,建物,臺北市內湖區瑞光路583巷1~30號,0.0,其他,,,1071106,土地0建物1車位1,六層,7,辦公商業大樓,工業用,鋼筋混凝土造,0861114,275.26,4,0,0,有,有,無,101253,368,坡道平面,0.0,0,,RPROMLNKJINFFCA77CC
中山區,建物,臺北市中山區南京東路一段132巷1~30號,0.0,商,,,1071014,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010109,80.32000000000001,2,2,2,有,無,有,35000,436,,0.0,0,,RPSOMLNKJINFFCA87CC
中山區,建物,臺北市中山區堤頂大道二段361~390號,0.0,住,,,1071015,土地0建物1車位2,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931230,250.37,4,2,2,有,無,有,66000,264,坡道平面,60.54,0,,RPUOMLNKJINFFCA08CC
內湖區,建物,臺北市內湖區成功路二段481~510號,0.0,住,,,1071015,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011123,191.70999999999998,3,2,2,有,無,有,62000,323,,0.0,0,,RPXOMLNKJINFFCA38CC
中山區,建物,臺北市中山區敬業三路162巷1~30號,0.0,住,,,1071109,土地0建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890628,155.45999999999998,3,2,2,有,有,無,36000,232,坡道平面,0.0,0,,RPRPMLNKJINFFCA87CC
中山區,建物,臺北市中山區龍江路281巷1~30號,0.0,住,,,1071021,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720328,149.68,5,2,2,有,有,有,35000,234,,0.0,0,,RPQQMLNKJINFFCA87CC
中山區,建物,臺北市中山區樂群二路271~300號,0.0,其他,,,1071025,土地0建物1車位0,三層,11,辦公商業大樓,商業用,鋼筋混凝土造,0970603,53.1,1,1,1,有,有,有,25000,471,,0.0,0,,RPTQMLNKJINFFCA18CC
內湖區,建物,臺北市內湖區新明路498巷8弄1~30號,0.0,住,,,1071027,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710707,68.4,2,2,1,有,無,有,18000,263,,0.0,0,,RPUQMLNKJINFFCA28CC
中山區,建物,臺北市中山區伊通街61~90號,0.0,商,,,1071108,土地0建物1車位0,二層,7,辦公商業大樓,,鋼筋混凝土造,0660808,137.92,2,1,2,有,有,有,45000,326,,0.0,0,,RPTOMLOKJINFFCA08CC
內湖區,建物,臺北市內湖區星雲街150巷1~30號,0.0,住,,,1071111,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840829,125.27000000000001,3,2,2,有,有,無,34000,271,,0.0,0,,RPVOMLOKJINFFCA28CC
