鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘆竹區,房地(土地+建物),桃園市蘆竹區中正路1~30號,6.64,住,,,1041115,土地1建物1車位0,四層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860122,47.05,0,0,0,無,有,有,10000,213,,0.0,0,,RPRNMLRLJIKFFEH88DC
蘆竹區,房地(土地+建物),桃園市蘆竹區蘆竹區中正路301~330號,5.64,住,,,1041122,土地1建物1車位0,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910523,57.67,2,1,1,有,無,有,10000,173,,0.0,0,,RPUNMLRLJIKFFEH56DC
八德區,房地(土地+建物),桃園市八德區中華路5巷31~60號,16.77,住,,,1041026,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021103,124.30000000000001,2,2,1,有,有,有,15500,125,,0.0,0,,RPUOMLKMJIKFFFH88EC
八德區,房地(土地+建物)+車位,桃園市八德區中正路121~150號,13.21,商,,,1041128,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030623,119.21000000000001,2,2,1,有,有,無,11500,96,坡道平面,29.66,0,,RPWOMLKMJIKFFFH88CC
中壢區,房地(土地+建物),桃園市中壢區環北路331~360號,6.23,住,,,1041120,土地1建物1車位0,十六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,82.56,2,2,1,有,有,有,18000,218,,0.0,0,,RPRPMLKMJIKFFBH08CC
龍潭區,房地(土地+建物)+車位,桃園市龍潭區百年二街31~60號,24.53,,鄉村區,乙種建築用地,1041117,土地2建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860626,78.6,2,1,2,有,有,有,11000,140,坡道平面,36.44,0,租金內含1160元/月管理費,RPVNMLLJKIKFFCH28CC
平鎮區,房地(土地+建物),桃園市平鎮區龍南路661~690號,13.51,住,,,1041112,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830620,78.23,2,2,1,有,無,有,8000,102,,0.0,0,,RPWNMLLJKIKFFGH78CC
平鎮區,房地(土地+建物),桃園市平鎮區平東路239巷73弄31~60號,60.0,住,,,1041114,土地2建物1車位0,全,3,透天厝,住家用,加強磚造,0700214,84.6,4,2,3,有,無,有,13000,154,,0.0,0,,RPOOMLLJKIKFFGH08CC
平鎮區,建物,桃園市平鎮區延平路三段1~30號,0.0,住,,,1041110,土地0建物0車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0841229,52.89,0,0,0,無,無,無,20000,378,,0.0,0,,RPRPMLMJKIKFFGH58CC
平鎮區,房地(土地+建物)+車位,桃園市平鎮區湧光路2巷31弄1~30號,31.16,商,,,1041107,土地1建物1車位1,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840330,94.49,2,1,1,有,無,有,6000,84,坡道平面,34.74,1000,,RPOPMLMJKIKFFGH48EC
平鎮區,房地(土地+建物),桃園市平鎮區中豐路山頂段301~330號,55.9,商,,,1041117,土地1建物1車位0,三層,5,店面(店鋪),商業用,鋼筋混凝土造,0710801,61.22,0,0,0,無,無,有,5000,82,,0.0,0,,RPPPMLMJKIKFFGH58EC
中壢區,房地(土地+建物),桃園市中壢區民族路31~60號,88.0,住,,,1041103,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0630729,138.8,2,2,2,有,無,無,47000,339,,0.0,0,,RPTPMLMJKIKFFBH28CC
中壢區,建物,桃園市中壢區中豐北路61~90號,0.0,住,,,1041110,土地0建物1車位0,五層,10,辦公商業大樓,住家用,鋼筋混凝土造,0870401,74.22,0,0,0,無,有,無,10000,135,,0.0,0,,RPWPMLMJKIKFFBH58CC
中壢區,建物,桃園市中壢區復華七街31~60號,0.0,住,,,1041124,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,76.64,3,2,1,有,有,無,7500,98,,0.0,0,,RPOQMLMJKIKFFBH87CC
中壢區,建物,桃園市中壢區新生路611巷1~30號,66.0,住,,,1041127,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0631119,104.28,4,2,2,有,無,無,15000,144,,0.0,0,,RPTQMLMJKIKFFBH38CC
