鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
民雄鄉,房地(土地+建物),嘉義縣民雄鄉大崎村大丘園181~210號,106.0,住,,,1050505,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0700603,123.54,3,1,2,有,無,有,7000,57,,0.0,0,,RPSNMLQJNHLFFCQ07CC
太保市,房地(土地+建物),嘉義縣太保市祥和二路東段61~90號,176.75,住,,,1050501,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0960208,102.34,4,2,1,有,無,有,8000,78,,0.0,0,,RPTOMLTJNHLFFDQ67CC
朴子市,房地(土地+建物),嘉義縣朴子市文明南路1~30號,107.0,住,,,1050501,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0640319,100.32,2,2,2,有,無,無,10000,100,,0.0,0,,RPUNMLTJNHLFFBQ47CC
朴子市,房地(土地+建物),嘉義縣朴子市祥和三路西段151~180號,184.78,住,,,1050501,土地2建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0970131,100.0,0,0,0,無,無,有,16000,160,,0.0,0,,RPQNMLMKNHLFFBQ09CC
布袋鎮,房地(土地+建物),嘉義縣布袋鎮中正路1~30號,14049.0,工,,,1050520,土地3建物3車位0,見其他登記事項,3,廠辦,工業用,鋼筋混凝土造,0830208,2434.78,5,3,5,有,無,有,150000,62,,0.0,0,,RPUNMLOLNHLFFBQ17CC
民雄鄉,房地(土地+建物),嘉義縣民雄鄉埤角511~540號,70.76,住,,,1050615,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0801107,144.45,3,3,3,有,無,無,15000,104,,0.0,0,,RPWNMLSKOHLFFCQ97DC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,7.6,住,,,1050616,土地1建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.07,1,0,1,有,有,有,2500,80,,0.0,0,,RPPNMLSLOHLFFBQ17CC
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,15.2,住,,,1050613,土地2建物2車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,62.14,2,0,2,有,有,有,5000,80,,0.0,0,,RPQNMLSLOHLFFBQ27CC
朴子市,房地(土地+建物),嘉義縣朴子市朴子三路169巷1~30號,6.54,商,,,1050628,土地1建物1車位0,八層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,33.02,1,0,1,有,有,有,3500,106,,0.0,0,,RPQNMLLJPHLFFBQ09CC
太保市,房地(土地+建物),嘉義縣太保市太保二路31~60號,30.53,住,,,1050627,土地1建物1車位0,七層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850207,148.19,4,2,2,有,有,有,12000,81,,0.0,0,,RPRNMLLJPHLFFDQ76CC
太保市,房地(土地+建物),嘉義縣太保市頂港子墘1~30號,91.16,,鄉村區,乙種建築用地,1050623,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0930415,173.22,4,2,3,有,無,有,12000,69,,0.0,0,,RPOOMLOKPHLFFDQ96CC
太保市,房地(土地+建物),嘉義縣太保市太保路31~60號,68.04,住,,,1050702,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830408,180.46,4,3,2,有,無,有,11000,61,,0.0,0,,RPPOMLOKPHLFFDQ07CC
太保市,房地(土地+建物),嘉義縣太保市祥和路二街東段61~90號,176.75,住,,,1050705,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0960208,102.34,0,0,0,無,無,無,15000,147,,0.0,0,,RPQNMLNLPHLFFDQ07CC
太保市,房地(土地+建物),嘉義縣太保市祥和二街東段61~90號,176.75,住,,,1050720,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0960208,102.34,4,2,1,有,無,有,8800,86,,0.0,0,,RPRNMLNLPHLFFDQ17CC
朴子市,房地(土地+建物),嘉義縣朴子市大同路61~90號,138.0,住,,,1050629,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871203,61.22,3,2,1,有,無,有,7000,114,,0.0,0,土地138平方公尺，權力範圍5分之1,RPPNMLNLPHLFFBQ76CC
