鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,建物,高雄市鼓山區博愛二路331~360號,0.0,商,,,1080729,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940802,89.01,2,2,1,有,有,有,15500,174,,0.0,0,,RPRNMLKLQHOFFAE38CC
鼓山區,建物,高雄市鼓山區華榮路541~570號,0.0,其他,,,1080819,土地0建物1車位0,全,5,透天厝,,鋼筋混凝土造,0741130,87.36,0,0,0,無,無,無,23000,263,,0.0,0,,RPSNMLKLQHOFFAE48CC
鼓山區,房地(土地+建物),高雄市鼓山區九如四路1181巷1~30號,21.91,住,,,1080728,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,161.14,3,2,2,有,有,有,26000,161,,0.0,0,,RPOOMLKLQHOFFAE18CC
前金區,房地(土地+建物),高雄市前金區大同一路241~270號,7.24,商,,,1080729,土地1建物1車位0,十四層,28,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070904,113.37,3,1,1,有,有,有,17000,150,,0.0,0,,RPROMLKLQHOFFAE48CC
前金區,建物,高雄市前金區中正四路91~120號,10.22,商,,,1080815,土地0建物1車位0,見其它登記事項,21,辦公商業大樓,商業用,鋼筋混凝土造,0881222,148.19,0,0,0,無,有,無,30000,202,,0.0,0,,RPUOMLKLQHOFFAE78CC
前金區,房地(土地+建物)+車位,高雄市前金區民生二路121~150號,5.45,商,,,1080731,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0901016,248.78,4,2,2,有,有,有,40000,161,坡道平面,25.85,0,親友、員工或其他特殊關係間之交易。;,RPWOMLKLQHOFFAE98CC
前金區,建物,高雄市前金區文武一街31~60號,0.0,商,,,1080809,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790517,34.650000000000006,1,0,1,有,無,有,5000,144,,0.0,0,,RPPPMLKLQHOFFAE38CC
新興區,建物,高雄市新興區中山一路91~120號,0.0,商,,,1080819,土地0建物1車位0,九層,10,辦公商業大樓,,鋼筋混凝土造,0651124,103.3,0,0,0,無,有,無,13000,126,,0.0,0,9樓為整層屋主自行隔間出租,RPPNMLKLQHOFFBE28CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區五福三路91~120號,14.34,商,,,1080727,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960813,207.32999999999998,3,2,2,有,有,有,32000,154,坡道平面,15.85,0,親友、員工或其他特殊關係間之交易。;,RPRNMLKLQHOFFBE48CC
新興區,建物,高雄市新興區南臺路61~90號,0.0,商,,,1080819,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760711,23.53,1,0,1,有,無,有,10000,425,,0.0,0,本案為5樓夾層共隔5間分租套房，本次僅出租此間為12.54加上共有10.99為23.53平方公尺,RPWNMLKLQHOFFBE98CC
苓雅區,房地(土地+建物),高雄市苓雅區大順三路31~60號,17.49,商,,,1080818,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0580704,94.78,3,2,2,有,無,有,12000,127,,0.0,0,,RPPNMLLLQHOFFBE38CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1080731,土地0建物1車位0,三十三層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,113.28,3,2,2,有,有,無,10900,96,,0.0,0,,RPQNMLLLQHOFFBE48CC
苓雅區,建物,高雄市苓雅區信守街1~30號,0.0,商,,,1080820,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0660802,28.32,1,0,1,有,無,有,7500,265,,0.0,0,本案為隔6間分租套房，本次僅出租此間為56.64第二層兩間均攤為28.32平方公尺,RPUNMLLLQHOFFBE88CC
新興區,建物,高雄市新興區南臺路61~90號,0.0,商,,,1080820,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760711,28.33,1,0,1,有,無,有,10000,353,,0.0,0,本案為隔5間分租套房，本次僅出租此間為130.71第五層5間均攤為26.14加上共有2.19等於28.33平方公尺,RPXNMLLLQHOFFBE56CC
鼓山區,建物,高雄市鼓山區龍德路391~420號,0.0,商,,,1080801,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940804,117.53,3,2,2,有,有,有,17000,145,,0.0,0,,RPQNMLLLQHOFFAE38CC
鼓山區,房地(土地+建物),高雄市鼓山區九如四路1382巷1~30號,26.3,住,,,1080819,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740828,74.18,3,2,2,有,無,有,8000,108,,0.0,0,,RPOOMLLLQHOFFAE28CC
鼓山區,建物,高雄市鼓山區安海街32巷31~60號,0.0,住,,,1080817,土地0建物0車位0,一層,1,其他,,加強磚造,0460806,15.29,1,0,1,有,無,有,6000,392,,0.0,0,,RPROMLLLQHOFFAE58CC
鼓山區,建物,高雄市鼓山區河邊街69巷1~30號,0.0,住,,,1080812,土地0建物1車位0,全,3,透天厝,,鋼筋混凝土造,0680620,99.93,4,3,3,有,無,有,10000,100,,0.0,0,,RPUOMLLLQHOFFAE88CC
三民區,建物,高雄市三民區山東街1~30號,0.0,住,,,1080801,土地0建物0車位0,全,3,透天厝,,加強磚造,0621224,19.0,1,0,1,有,無,有,7000,368,,0.0,0,有民情風俗因素之交易。;承租分租之一部分房間,RPUNMLLLQHOFFDE09CC
三民區,建物,高雄市三民區覺民路631~660號,0.0,住,,,1080820,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940930,24.33,1,0,1,有,無,有,6000,247,,0.0,0,本案為隔11間分租套、雅房，本次僅出租此間為73.00第四層3間均攤為24.33平方公尺,RPPOMLLLQHOFFDE68CC
三民區,建物,高雄市三民區鼎山街361~390號,0.0,住,,,1080819,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0930223,16.77,1,0,1,有,無,有,5350,319,,0.0,0,本案為隔8間分租套房，本次僅出租此間為33.54第五層2間均攤為16.77平方公尺,RPUOMLLLQHOFFDE56CC
三民區,房地(土地+建物),高雄市三民區察哈爾2街7巷19弄1~30號,13.49,商,,,1080814,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0770609,151.58,3,2,2,有,有,有,10000,66,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXOMLLLQHOFFDE86CC
鳥松區,建物,高雄市鳥松區和盛東街36巷1~30號,0.0,住,,,1080801,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0970922,269.90999999999997,4,2,4,有,無,有,28000,104,,0.0,0,,RPPOMLLLQHOFFIE56CC
鳳山區,建物,高雄市鳳山區瑞隆東路31~60號,0.0,住,,,1080731,土地0建物0車位0,一層,1,店面(店鋪),住家用,磚造,0610610,37.2,0,1,0,有,無,有,68000,1828,,0.0,0,有民情風俗因素之交易。;,RPPPMLLLQHOFFGE09CC
鳳山區,建物,高雄市鳳山區瑞隆東路31~60號,0.0,住,,,1080731,土地0建物0車位0,一層,1,店面(店鋪),住家用,磚造,0610610,12.4,0,1,0,有,無,有,20000,1613,,0.0,0,有民情風俗因素之交易。;,RPQPMLLLQHOFFGE56CC
前鎮區,建物,高雄市前鎮區凱旋三路301~330號,0.0,住,,,1080816,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700119,18.32,1,0,1,有,無,有,5300,289,,0.0,0,,RPTNMLLLQHOFFCE88CC
岡山區,房地(土地+建物),高雄市岡山區柳橋西路1~30號,105.0,住,,,1080821,土地1建物1車位0,見其它登記事項,3,店面(店鋪),住工用,見其它登記事項,0480601,138.26,3,0,3,有,無,有,30000,217,,0.0,0,,RPSNMLLLQHOFFFE09CC
岡山區,建物,高雄市岡山區岡山路151~180號,0.0,住,,,1080808,土地0建物0車位0,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821220,19.3,1,0,1,有,有,有,6500,337,,0.0,0,承租分租之一部分房間,RPUNMLLLQHOFFFE66CC
鳳山區,建物,高雄市鳳山區瑞興路422巷1~30號,0.0,住,,,1080813,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0750925,95.8,2,2,2,有,無,有,11000,115,,0.0,0,,RPRNMLMLQHOFFGE56CC
大社區,土地,圳觀段1~30地號,337.19,農,,,1080808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,26250,78,,0.0,0,有民情風俗因素之交易。;部分土地,RPPOMLMLQHOFFIE66CC
阿蓮區,房地(土地+建物),高雄市阿蓮區?山里建國1~30號,19127.17,,一般農業區,特定目的事業用地,1080805,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,1070816,8432.5,0,0,0,無,無,無,370000,,,0.0,0,部分建物。,RPQNMLMLQHOFFJE76CC
三民區,建物,高雄市三民區建國三路1~30號,0.0,商,,,1080814,土地0建物1車位0,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840615,35.1,1,0,1,有,無,有,4500,128,,0.0,0,,RPTNMLMLQHOFFDE09CC
三民區,建物,高雄市三民區中和街74巷7弄1~30號,0.0,住,,,1080805,土地0建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0560730,61.24,3,2,1,有,無,有,6000,98,,0.0,0,有民情風俗因素之交易。;房屋用途做工作室使用,RPPOMLMLQHOFFDE78CC
三民區,建物,高雄市三民區建國一路511~540號,0.0,商,,,1080818,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681122,39.57,2,1,1,有,無,有,9000,227,,0.0,0,,RPROMLMLQHOFFDE98CC
三民區,建物,高雄市三民區覺民路531巷37弄1~30號,0.0,住,,,1080805,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680412,71.72,3,1,1,有,無,無,10000,139,,0.0,0,,RPSOMLMLQHOFFDE09CC
鹽埕區,建物,高雄市鹽埕區七賢三路211~240號,0.0,商,,,1080815,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0730324,109.47,3,2,2,有,有,有,11000,100,,0.0,0,,RPVNMLMLQHOFFAE98CC
苓雅區,房地(土地+建物),高雄市苓雅區自強三路1~30號,1.44,商,,,1080805,土地1建物1車位0,二十八層,85,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0880401,39.4,1,0,1,有,有,有,8000,203,,0.0,0,,RPPNMLMLQHOFFBE48CC
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,11.44,商,,,1080811,土地1建物1車位0,二十八層,35,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860421,74.83,1,0,1,有,有,有,5500,73,,0.0,0,,RPRNMLMLQHOFFBE68CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1080816,土地0建物1車位0,三十四層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,90.88,2,1,1,有,無,有,12000,132,,0.0,0,,RPQOMLMLQHOFFBE68CC
苓雅區,建物,高雄市苓雅區和平一路89巷1~30號,0.0,住,,,1080805,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681017,106.49,4,2,2,有,無,有,12000,113,,0.0,0,,RPTOMLMLQHOFFBE98CC
新興區,房地(土地+建物),高雄市新興區南臺路1~30號,11.73,商,,,1080801,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0720428,145.77,2,2,1,有,無,有,19000,130,,0.0,0,含管理費,RPUNMLNLQHOFFBE09CC
新興區,房地(土地+建物),高雄市新興區復興街1~30號,11.72,商,,,1080725,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020517,90.38,1,1,1,有,有,有,19000,210,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLNLQHOFFBE76CC
