編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPKPHJFFCQ86DC,26,141.09,住商用,鋼筋混凝土造,77年12月27日,三層,
RPVNMLSJNHJFFDQ47CC,1,238.00,農舍,見其他登記事項,102年2月26日,一層,
RPQNMLMLPHJFFDQ76CC,15,209.93,住家用,見其他登記事項,88年9月8日,四層,
RPSNMLPJNHJFFDQ86CC,6,65.19,住商用,鋼筋混凝土造,97年7月3日,四層,
RPVNMLNKNHJFFDQ07CC,18,148.20,見其他登記事項,鋼筋混凝土造,85年2月7日,九層,
RPSNMLKLOHJFFBQ09CC,8,9.09,住家用,鋼筋混凝土造,95年8月28日,八層,
RPRNMLSLPHJFFDQ47CC,34,82.51,住商用,鋼筋混凝土加強磚造,69年3月31日,二層,
RPRNMLNKNHJFFBQ09CC,18,46.69,住家用,見其他登記事項,84年11月29日,二層,
RPRNMLMLNHJFFBQ09CC,11,176.06,住商用,鋼筋混凝土造,92年9月22日,四層,
RPTNMLOJOHJFFBQ76CC,14,424.50,農舍,見其他登記事項,89年1月29日,三層,
RPTNMLOJOHJFFBQ76CC,42,147.70,住家用,磚造,61年7月15日,一層,
RPTNMLRLNHJFFBQ17CC,8,31.22,住家用,鋼筋混凝土造,95年8月28日,八層,
RPUNMLSLPHJFFBQ57CC,6,413.24,見其他登記事項,鋼筋混凝土造,97年1月31日,四層,
RPTNMLSLPHJFFBQ47CC,10,199.77,住商用,鋼筋混凝土造,93年5月28日,四層,
RPSNMLMLPHJFFBQ76CC,8,53.35,住商用,鋼筋混凝土造,95年10月28日,四層,
RPRNMLMLPHJFFBQ66CC,16,77.50,住家用,鋼筋混凝土造,87年12月3日,五層,
RPUNMLPJNHJFFBQ86CC,8,31.22,住家用,鋼筋混凝土造,95年8月28日,八層,
