鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,5758.57,住,,,1070301,土地1建物1車位0,六層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,26.61,1,1,1,有,無,有,2800,105,,0.0,0,,RPQNMLPJLHNFFBQ66CC
朴子市,房地(土地+建物),嘉義縣朴子市祥和三路西段181~210號,91.69,住,,,1070310,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0970131,200.62,5,6,6,有,無,有,18000,90,,0.0,0,,RPQNMLPKLHNFFBQ76CC
太保市,房地(土地+建物),嘉義縣太保市太保五路121~150號,205.33,住,,,1070219,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0960822,433.14,7,3,7,有,無,有,25000,58,,0.0,0,,RPPNMLPKLHNFFDQ86CC
水上鄉,房地(土地+建物),嘉義縣水上鄉粗溪村2鄰粗溪1~30號,92.0,住,,,1070316,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0701128,116.18,4,2,2,有,無,無,6000,52,,0.0,0,,RPUNMLQKLHNFFDQ47CC
朴子市,房地(土地+建物),嘉義縣朴子市市西路31~60號,105.0,商,,,1070321,土地1建物1車位0,全,3,透天厝,住商用,見其他登記事項,0100101,52.89,5,3,2,有,無,有,12000,227,,0.0,0,建物未保存登記部份至三樓,RPPNMLTLLHNFFBQ17CC
朴子市,土地,南勢竹段南竹小段1~30地號,168.0,,特定農業區,甲種建築用地,1070410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,6000,36,,0.0,0,,RPSNMLNKMHNFFBQ86CC
朴子市,土地,文化段31~60地號,85.78,住,,,1070418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,2500,29,,0.0,0,,RPWNMLOLMHNFFBQ47CC
朴子市,房地(土地+建物),嘉義縣朴子市嘉朴路西段31~60號,8.5,住,,,1070401,土地1建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860110,81.0,1,0,1,有,有,有,10000,123,,0.0,0,,RPXNMLOLMHNFFBQ57CC
朴子市,土地,文化段31~60地號,82.5,住,,,1070503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,12000,145,,0.0,0,,RPVNMLTJNHNFFBQ77CC
