鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中區,建物,臺中市中區中華路二段1~30號,0.0,商,,,1060929,土地0建物0車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0750404,116.36,0,0,0,無,無,無,36000,309,,0.0,0,,RPQOMLTKIIMFFAB97CC
南區,建物,臺中市南區忠孝路121~150號,0.0,住,,,1060930,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0810129,188.01,0,0,0,無,有,無,35000,186,,0.0,0,,RPTOMLTKIIMFFAB28CC
北區,車位,臺中市北區進化北路301~330號,0.52,商,,,1061007,土地0建物0車位1,,,其他,,,,31.88,0,0,0,有,有,無,3500,,坡道平面,31.88,3500,,RPSPMLTKIIMFFBB38CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.37,商,,,1061007,土地2建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,68.07,0,0,0,無,有,有,14000,206,,0.0,0,,RPUPMLTKIIMFFBB58CC
北區,房地(土地+建物)+車位,臺中市北區進化北路301~330號,8.56,商,,,1061010,土地2建物1車位1,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,91.00999999999999,2,1,1,有,有,有,21000,231,坡道平面,27.9,0,,RPVPMLTKIIMFFBB68CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段271~300號,5.84,商,,,1061010,土地1建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,62.95,0,0,0,無,有,有,18000,286,,0.0,0,租金含管理費,RPXPMLTKIIMFFBB88CC
北屯區,車位,臺中市北屯區文心路四段271~300號,0.0,,,,1061010,土地0建物0車位1,,,其他,,,,13.62,0,0,0,有,有,無,2000,,坡道機械,13.62,2000,,RPOQMLTKIIMFFBB08CC
北屯區,車位,臺中市北屯區文心路四段271~300號,0.0,,,,1061013,土地0建物0車位1,,,其他,,,,27.23,0,0,0,有,有,有,3500,,坡道平面,27.23,3500,,RPPQMLTKIIMFFBB18CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段271~300號,10.08,商,,,1061013,土地1建物1車位0,二十一層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,111.15,2,1,2,有,有,有,23000,207,,0.0,0,,RPRQMLTKIIMFFBB38CC
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段271~300號,10.62,商,,,1061016,土地1建物1車位1,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,113.39,2,1,2,有,有,有,25000,220,坡道機械,13.62,0,租金含管理費,RPTQMLTKIIMFFBB58CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段511~540號,24.27,住,,,1061006,土地1建物1車位2,八層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0870108,230.47,0,0,0,無,有,無,40000,174,坡道平面,0.0,0,,RPXNMLTKIIMFFCB78CC
西屯區,房地(土地+建物),臺中市西屯區朝富路211~240號,17.67,其他,,,1061012,土地1建物1車位0,十三層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,293.19,0,0,0,無,有,無,64750,221,,0.0,0,,RPPOMLTKIIMFFCB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路481~510號,15.74,其他,,,1061012,土地1建物1車位2,十二層,29,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1011219,297.33000000000004,0,0,0,無,有,無,58500,197,坡道機械,0.0,0,,RPROMLTKIIMFFCB28CC
西屯區,房地(土地+建物),臺中市西屯區精明路31~60號,21.23,住,,,1060920,土地2建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720930,119.71,3,2,2,有,無,無,12500,104,,0.0,0,,RPSPMLTKIIMFFCB48CC
西屯區,房地(土地+建物)+車位,臺中市西屯區逢大路61~90號,44.93,住,,,1061007,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940704,215.66,4,2,2,有,有,有,18000,83,坡道平面,0.0,0,,RPRQMLTKIIMFFCB48CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,8.57,商,,,1060920,土地1建物1車位0,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,84.86,2,1,2,有,有,有,25000,295,,0.0,0,,RPSQMLTKIIMFFCB58CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,8.57,商,,,1060920,土地1建物1車位0,十七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,84.86,2,1,2,有,有,有,25000,295,,0.0,0,,RPTQMLTKIIMFFCB68CC
西屯區,房地(土地+建物),臺中市西屯區華美西街二段301~330號,18.79,住,,,1060919,土地1建物1車位0,八層,15,辦公商業大樓,商業用,鋼筋混凝土造,0780916,171.14,0,0,0,無,有,無,19500,114,,0.0,0,,RPURMLTKIIMFFCB88CC
烏日區,房地(土地+建物),臺中市烏日區太明路67巷1~30號,292.0,,特定農業區,丁種建築用地,1060922,土地1建物1車位0,見其他登記事項,2,工廠,見其他登記事項,鋼筋混凝土造,1020118,446.53,2,2,2,有,無,無,55000,,,0.0,0,,RPSNMLKLIIMFFIB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區福康路119巷1~30號,20.67,住,,,1060923,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051209,122.52000000000001,2,2,1,有,有,有,21500,175,坡道平面,31.5,0,租金含管理費,RPTOMLKLIIMFFCB67CC
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段751~780號,0.28,住,,,1061016,土地1建物2車位0,五層,12,辦公商業大樓,見其他登記事項,見其他登記事項,0801125,361.56,3,0,1,有,有,無,53760,149,,0.0,0,僅承租部份面積!,RPUOMLKLIIMFFCB77CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路241~270號,10.58,住,,,1061020,土地1建物1車位1,十三層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,109.9,3,2,2,有,有,無,27000,246,坡道平面,32.09,0,,RPVOMLKLIIMFFCB87CC
