編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLTJJIHFFEE08CC,9,73.73,住家用,見使用執照,93年4月20日,五層,一層 二層 三層 四層 五層
RPSPMLTJJIHFFEE48CC,7,201.02,商業用,鋼筋混凝土造,95年3月6日,十五層,一層 二層 夾層
RPSPMLTJJIHFFEE48CC,7,38.75,見其它登記事項,鋼筋混凝土造,95年3月6日,十五層,
RPPOMLTJJIHFFEE08CC,15,99.40,住家用,鋼筋混凝土造,87年2月17日,二十六層,十八層 十九層
RPPOMLTJJIHFFEE08CC,15,33.85,見使用執照,鋼筋混凝土造,87年2月17日,二十六層,
RPPOMLSJJIHFFAE57CC,7,135.01,住家用,鋼筋混凝土造,94年6月16日,十四層,十四層
RPWNMLTJJIHFFAE38DC,47,44.51,住家用,加強磚造,54年9月8日,二層,一層 二層
RPXOMLTJJIHFFAE48CC,4,149.90,商業用,鋼筋混凝土造,97年10月1日,二十四層,一層 二層
RPXOMLTJJIHFFAE48CC,4,147.70,商業用,鋼筋混凝土造,97年10月1日,二十四層,一層 二層
RPXOMLTJJIHFFAE48CC,4,3.53,商業用,鋼筋混凝土造,97年10月1日,二十四層,一層 二層
RPVNMLTJJIHFFAE18CC,8,58.45,住家用,鋼筋混凝土造,93年7月22日,十四層,十層
RPVNMLTJJIHFFAE18CC,8,48.43,共有部分,鋼筋混凝土造,93年7月22日,十四層,
RPXNMLSJJIHFFAE28CC,6,74.03,住家用,鋼筋混凝土造,95年8月23日,十五層,十一層
RPXNMLSJJIHFFAE28CC,6,10.79,住家用,鋼筋混凝土造,95年8月23日,十五層,十一層
RPXNMLSJJIHFFAE28CC,6,.68,住家用,鋼筋混凝土造,95年8月23日,十五層,十一層
RPXNMLSJJIHFFAE28CC,6,31.45,共有部分,鋼筋混凝土造,95年8月23日,十五層,
RPQPMLTJJIHFFAE87CC,6,432.36,住商用,鋼筋混凝土造,96年3月1日,十四層,一層 二層
RPOOMLTJJIHFFDE87CC,40,264.98,,鋼筋混凝土造,61年12月28日,四層,一層 二層 三層 四層 騎樓
RPQOMLTJJIHFFDE08CC,43,188.55,住商用,加強磚造,59年1月17日,二層,一層 二層 騎樓
RPUOMLTJJIHFFDE48CC,37,200.49,,鋼筋混凝土造,64年7月25日,四層,一層 二層 三層 四層 騎樓 地下層
RPOOMLMKJIHFFEE37CC,23,44.69,見其它登記事項,鋼筋混凝土造,79年3月26日,十九層,十八層
RPPOMLMKJIHFFCE27CC,29,84.98,,鋼筋混凝土造,73年4月12日,五層,五層
RPXNMLSJJIHFFCE48CC,2,35.97,住家用,鋼筋混凝土造,100年1月25日,十五層,十三層
RPSNMLSJJIHFFCE97CC,14,417.67,商業用,鋼筋混凝土造,87年7月14日,二十八層,十八層
RPUNMLTJJIHFFBE18CC,40,55.17,,加強磚造,62年3月6日,三層,一層 二層 三層 騎樓
RPUNMLTJJIHFFBE18CC,40,55.17,,加強磚造,62年3月6日,三層,一層 二層 三層 騎樓
RPPOMLTJJIHFFBE77CC,31,134.45,,鋼筋混凝土造,70年8月15日,十二層,七層
RPSNMLTJJIHFFBE97CC,40,55.16,,加強磚造,62年3月6日,三層,一層 二層 三層 騎樓
RPQNMLKKJIHFFBE96CC,27,88.55,,鋼筋混凝土造,74年9月23日,七層,一層 騎樓
RPQNMLKKJIHFFBE96CC,27,28.03,,鋼筋混凝土造,74年9月23日,七層,
RPPNMLMKJIHFFAE96CC,8,88.99,住家用,鋼筋混凝土造,93年10月6日,十四層,四層
RPQOMLNKJIHFFAE27CC,5,83.41,住家用,鋼筋混凝土造,96年8月14日,十五層,十四層
RPQOMLMKJIHFFAE17CC,33,100.96,,鋼筋混凝土造,68年8月8日,五層,一層 二層 騎樓
RPQNMLMKJIHFFAE07CC,7,118.58,住家用,鋼筋混凝土造,95年2月20日,十五層,三層
RPQNMLMKJIHFFAE07CC,7,17.17,住家用,鋼筋混凝土造,95年2月20日,十五層,三層
RPQNMLMKJIHFFAE07CC,7,.79,住家用,鋼筋混凝土造,95年2月20日,十五層,三層
RPQNMLMKJIHFFAE07CC,7,27.31,共有部分,鋼筋混凝土造,95年2月20日,十五層,
RPQNMLMKJIHFFAE07CC,7,33.43,共有部分,鋼筋混凝土造,95年2月20日,十五層,
RPQOMLMKJIHFFDE47CC,22,125.72,,鋼筋混凝土造,80年3月1日,十二層,五層
RPPNMLLKJIHFFBS38CC,24,99.42,住家用,鋼筋混凝土造,78年1月28日,005,二層
RPRNMLLKJIHFFBS58CC,31,127.02,住商用,鋼筋混凝土造,70年8月30日,003,一層 二層 三層 騎樓
