編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLSLJIHFFEM98CA,,192.29,住家用,見其他登記事項,101年5月30日,三層,一層 二層 三層
RPRNMLSLJIHFFEM88CA,,197.91,住家用,見其他登記事項,101年5月30日,三層,一層 二層 三層
RPSNMLMKJIHFFCM08CA,15,119.74,住家用,鋼筋混凝土造,86年11月24日,三層,一層 二層 三層
RPSNMLNKJIHFFBM08CA,24,61.82,住家用,鋼筋混凝土造,77年10月27日,三層,一層 二層 三層
RPSNMLNKJIHFFBM08CA,24,61.82,住家用,鋼筋混凝土造,77年10月27日,三層,一層 二層 三層
RPSOMLSLJIHFFAM68CA,14,146.86,住商用,鋼筋混凝土造,87年6月9日,三層,一層 二層 三層 屋頂突出物
RPSNMLQLJIHFFDM68CA,18,158.04,住家用,鋼筋混凝土造,83年6月27日,三層,三層 電梯樓梯間 一層 二層
RPWPMLOKJIHFFCM88CA,32,79.20,住家用,鋼筋混凝土加強磚造,69年5月22日,一層,一層 騎樓
RPPPMLOKJIHFFCM18CA,30,287.31,見其他登記事項,鋼筋混凝土造,71年7月26日,二層,二層 騎樓 見其他登記事項
RPUNMLMKJIHFFAM08CA,8,174.65,住家用,鋼筋混凝土造,94年1月17日,三層,一層 二層 三層 屋頂突出物
RPPNMLNKJIHFFAM67CA,33,97.18,住家用,鋼筋混凝土加強磚造,68年9月22日,二層,一層 二層
RPWNMLQLJIHFFAM78CA,,65.95,住家用,鋼筋混凝土加強磚造,,一層,一層
RPQNMLRLJIHFFAM28CA,17,131.67,住家用,鋼筋混凝土造,84年6月16日,三層,一層 二層 三層
RPOPMLOKJIHFFCM18DA,52,121.46,住家用,磚造,49年5月15日,三層,一層 二層 三層
RPPNMLMJKIHFFAM57CA,15,85.48,住家用,鋼筋混凝土造,86年9月19日,十四層,四層
RPPNMLMJKIHFFAM57CA,15,21.83,見其他登記事項,鋼筋混凝土造,86年9月19日,十四層,
RPSNMLRJKIHFFAM38CA,14,164.64,住商用,鋼筋混凝土造,88年4月15日,四層,一層 二層 三層 四層
RPPNMLPKJIHFFBM97CA,18,59.12,住家用,鋼筋混凝土造,83年11月7日,十三層,十三層
RPQNMLRKJIHFFCM38CA,6,242.69,見其他登記事項,鋼筋混凝土造,95年10月19日,二層,一層 二層 屋頂突出物
RPRNMLPKJIHFFBM18CA,5,201.50,住家用,鋼筋混凝土造,96年10月19日,四層,一層 二層 三層 四層
RPPOMLSLJIHFFCM58CA,17,105.55,見其他登記事項,鋼筋混凝土造,85年2月9日,十五層,七層
RPPOMLSLJIHFFCM58CA,17,23.36,見其他登記事項,鋼筋混凝土造,85年2月9日,十五層,
RPPNMLOKJIHFFAM87DA,33,103.82,住家用,鋼筋混凝土加強磚造,68年10月1日,二層,一層 二層
RPOOMLPJKIHFFCM08CA,3,12.30,農舍,見其他登記事項,98年6月16日,一層,一層
RPQNMLQKJIHFFAM08CA,18,145.20,住家用,鋼筋混凝土造,83年10月21日,三層,一層 二層 三層 屋頂突出物
RPRNMLRKJIHFFCM48CA,23,116.36,見其他登記事項,鋼筋混凝土造,78年8月16日,二層,一層 二層 騎樓
RPQNMLMLJIHFFCM97CA,8,276.90,見其他登記事項,見其他登記事項,94年2月16日,三層,三層 一層 二層
RPOOMLSLJIHFFAM28CA,9,171.47,住家用,鋼筋混凝土造,92年11月21日,四層,一層 二層 三層 四層
RPPNMLTKJIHFFCM48CA,18,103.83,見其他登記事項,鋼筋混凝土造,83年7月8日,十二層,十二層
RPPNMLTKJIHFFCM48CA,18,14.26,見其他登記事項,鋼筋混凝土造,83年7月8日,十二層,
RPXNMLNLJIHFFBM68CA,7,14.25,商業用,鋼筋混凝土造,94年6月30日,一層,一層
RPXNMLNLJIHFFBM68CA,7,463.98,住商用,鋼筋混凝土造,94年6月30日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPPNMLKLJIHFFDM77CA,33,54.05,住家用,加強磚造,68年6月1日,一層,一層
RPXNMLTKJIHFFDM86DA,30,83.96,見其他登記事項,鋼筋混凝土加強磚造,71年8月2日,二層,一層 二層
RPOOMLTKJIHFFDM58CA,6,177.14,住家用,鋼筋混凝土造,96年1月12日,四層,四層 一層 二層 三層
RPXNMLMLJIHFFCM68CA,7,322.03,見其他登記事項,見其他登記事項,94年8月2日,二層,
RPRNMLKLJIHFFCM87CA,8,144.36,住家用,鋼骨鋼筋混凝土造,94年1月31日,三層,一層 二層 三層
