編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLPKNHNFFAT67CA,36,85.88,國民住宅,鋼筋混凝土造,71年7月17日,五層,三層
RPWOMLPKNHNFFAT67CA,36,.00,國民住宅,鋼筋混凝土造,71年7月17日,五層,一層 二層 三層 四層 五層 地下層
RPXOMLQKNHNFFAT87CA,20,205.80,住家用,鋼筋混凝土造,86年8月15日,二層,一層 二層
RPTOMLOKNHNFFAT27CA,14,114.28,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,五層
RPTOMLOKNHNFFAT27CA,14,66.73,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,
RPVOMLPKNHNFFAT57CA,35,74.42,國民住宅,鋼筋混凝土造,71年10月15日,五層,四層
RPVOMLPKNHNFFAT57CA,,.00,見其他登記事項,鋼筋混凝土造,,六層,
RPQNMLPKNHNFFAT96CA,1,210.19,住家用,鋼筋混凝土造,106年8月11日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPPMLSKNHNFFAT37CA,,405.35,住商用,鋼筋混凝土造,107年1月26日,四層,一層 二層 三層 四層 騎樓
RPQOMLQKNHNFFAT17CA,33,101.07,住家用,加強磚造,74年9月17日,二層,一層 二層
RPXNMLMLNHNFFAT47CA,,267.02,住家用,鋼筋混凝土造,106年12月28日,三層,一層 二層 三層 屋頂突出物
RPXOMLOLNHNFFAT77CA,,212.18,住宅,鋼筋混凝土造,107年1月3日,四層,一層 二層 三層 四層
RPROMLSLNHNFFAT57CA,25,25.51,住家用,鋼筋混凝土造,81年11月9日,十二層,十層
RPROMLSLNHNFFAT57CA,22,7.58,見其他登記事項,鋼筋混凝土造,84年11月9日,十二層,
RPSNMLRKNHNFFCT57CA,36,94.40,住家用,加強磚造,70年11月25日,二層,一層 二層
RPPOMLSKNHNFFCT47CA,7,220.09,住家用,鋼筋混凝土造,99年12月30日,三層,一層 二層 三層
RPQOMLRKNHNFFCT47CA,42,228.15,住商用,加強磚造,65年5月14日,三層,一層 二層 三層 騎樓
RPWNMLNLNHNFFAT47CA,24,84.80,住家用,鋼筋混凝土造,83年5月4日,七層,六層
RPWNMLNLNHNFFAT47CA,24,22.45,見其他登記事項,鋼筋混凝土造,83年5月4日,七層,
RPQNMLLLNHNFFCT86CA,42,94.26,住商用,加強磚造,65年4月3日,二層,一層 二層 騎樓
RPQNMLQKNHNFFCT27CA,46,132.00,住家用,見使用執照,60年12月28日,二層,一層 二層 騎樓
RPXNMLLLNHNFFCT57CA,22,57.60,住家用,鋼筋混凝土造,85年1月9日,八層,四層
RPXNMLLLNHNFFCT57CA,22,26.57,見其他登記事項,鋼筋混凝土造,85年1月9日,八層,
RPSNMLMKOHNFFCT17CA,29,397.00,見其他登記事項,見其他登記事項,78年7月29日,二層,一層 二層
RPVNMLQKNHNFFDT87CA,24,172.40,店舖、住宅,鋼筋混凝土造,83年5月7日,四層,一層 二層 三層 四層 騎樓
RPSNMLQKNHNFFDT57CA,12,218.96,住宅,鋼筋混凝土造,95年7月14日,三層,一層 二層 三層
RPQNMLLMNHNFFBT86CA,24,189.53,店舖、住宅,鋼筋混凝土造,83年3月28日,四層,一層 二層 三層 四層
RPUNMLNKOHNFFCT47CA,22,38.81,見其他登記事項,鋼筋混凝土造,84年11月10日,十層,四層
RPUNMLNKOHNFFCT47CA,22,19.53,見其他登記事項,鋼筋混凝土造,84年11月10日,十層,
RPUOMLSKNHNFFCT08DA,30,91.49,住商用,鋼筋混凝土造,77年7月30日,二層,一層 二層 夾層
RPQNMLRKNHNFFCT47DA,24,138.39,住家用,鋼筋混凝土造,83年10月20日,三層,一層 二層 三層
RPQNMLRKNHNFFET57CA,20,122.66,住家用,鋼筋混凝土造,86年12月2日,十五層,九層
RPQNMLRKNHNFFET57CA,20,48.28,住家用,鋼筋混凝土造,86年12月2日,十五層,
RPSNMLRKNHNFFDT67CA,1,174.21,住家用,鋼筋混凝土構造,106年6月7日,三層,一層 二層 三層 屋頂突出物
RPSNMLSKNHNFFET87CA,35,126.80,見其他登記事項,加強磚造,72年4月16日,二層,一層 二層 屋頂突出物 騎樓
RPTNMLRKNHNFFDT77CA,1,174.21,住家用,鋼筋混凝土構造,106年6月7日,三層,一層 二層 三層 屋頂突出物
RPVNMLMLNHNFFDT57CA,22,173.88,店舖、住宅,鋼筋混凝土造,84年10月17日,四層,一層 二層 三層 四層 騎樓
RPROMLRKNHNFFCT57CA,24,173.02,住家用,鋼筋混凝土造,83年6月24日,三層,一層 二層 三層
RPVNMLRKNHNFFCT87CA,27,292.97,住商用,鋼筋混凝土造,80年7月26日,五層,一層 二層 三層 四層 五層 騎樓
RPQNMLNLNHNFFCT07CA,23,116.59,住家用,鋼筋混凝土造,84年1月20日,八層,一層 二層 三層
RPQNMLNLNHNFFCT07CA,23,42.53,見其他登記事項,鋼筋混凝土造,84年1月20日,八層,
RPXNMLQKNHNFFCT97CA,23,177.34,住家用,鋼筋混凝土造,84年3月28日,三層,一層 二層 三層
RPSOMLMLNHNFFAT07CA,27,44.62,共有部份,鋼筋混凝土造,80年9月2日,七層,
RPSOMLMLNHNFFAT07CA,27,58.90,住家用,鋼筋混凝土造,80年9月2日,七層,三層
RPSOMLMLNHNFFAT07CA,27,58.90,住家用,鋼筋混凝土造,80年9月2日,七層,三層
RPXNMLLLNHNFFAT37CA,23,89.45,見其他登記事項,鋼筋混凝土造,83年11月16日,七層,七層
RPXNMLLLNHNFFAT37CA,23,44.72,見其他登記事項,鋼筋混凝土造,83年11月16日,七層,
RPQOMLRKNHNFFAT27CA,24,188.14,住商用,鋼筋混凝土造,83年3月4日,四層,一層 二層 三層 四層
RPROMLRKNHNFFAT37CA,24,214.86,住商用,鋼筋混凝土造,83年4月28日,五層,一層 二層 三層 四層 五層 騎樓
RPOOMLLMNHNFFAT66CA,22,53.73,住宅,鋼筋混凝土造,84年11月9日,十二層,九層
RPOOMLLMNHNFFAT66CA,22,26.38,見其他登記事項,鋼筋混凝土造,84年11月9日,十二層,
RPUNMLLKOHNFFAT07CA,,204.76,住宅,鋼筋混凝土造,107年2月27日,三層,一層 二層 三層 屋頂突出物
RPPNMLSKNHNFFAT17CA,24,132.51,住家用,鋼筋混凝土造,83年2月6日,三層,一層 二層 三層
RPQNMLSKNHNFFAT27CA,,169.26,住家用,鋼筋混凝土造,106年12月20日,三層,一層 二層 三層
RPWPMLQJOHNFFAT87CA,,193.18,見其他登記事項,鋼筋混凝土造,107年2月7日,四層,一層 二層 三層 四層
RPSNMLQKNHNFFAT27CA,1,41.61,見其他登記事項,鋼筋混凝土造,106年8月7日,五層,
RPSNMLQKNHNFFAT27CA,1,80.32,見其他登記事項,鋼筋混凝土造,106年8月7日,五層,二層
RPTPMLOLNHNFFAT47CA,35,69.46,住宅,鋼筋混凝土造,71年11月28日,五層,五層
RPTPMLOLNHNFFAT47CA,35,4.09,見其他登記事項,鋼筋混凝土造,71年11月28日,五層,
RPUNMLSKNHNFFAT67CA,18,122.28,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十一層
RPUNMLSKNHNFFAT67CA,18,35.53,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPTNMLSKNHNFFAT57CA,22,90.77,國民住宅,鋼筋混凝土造,85年6月7日,十一層,六層
RPTNMLSKNHNFFAT57CA,22,41.85,見其他登記事項,鋼筋混凝土造,85年6月7日,十一層,
RPSPMLQJOHNFFAT47CA,,200.32,見其他登記事項,鋼筋混凝土造,107年2月7日,四層,一層 二層 三層 四層
RPWOMLMLNHNFFAT47CA,22,71.02,見其他登記事項,鋼筋混凝土造,84年11月25日,七層,一層 二層 騎樓
RPWOMLMLNHNFFAT47CA,22,71.02,見其他登記事項,鋼筋混凝土造,84年11月25日,七層,一層 二層 騎樓
RPWOMLMLNHNFFAT47CA,22,19.40,見其他登記事項,鋼筋混凝土造,84年11月25日,七層,
RPWOMLMLNHNFFAT47CA,22,19.40,見其他登記事項,鋼筋混凝土造,84年11月25日,七層,
RPRNMLLLNHNFFAT76CA,18,47.24,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,三層
RPRNMLLLNHNFFAT76CA,18,14.40,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPRNMLLKOHNFFAT76CA,2,64.51,店舖、住宅,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 屋頂突出物 騎樓
RPRNMLLKOHNFFAT76CA,2,64.51,店舖、住宅,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 屋頂突出物 騎樓
RPRNMLLKOHNFFAT76CA,2,64.51,店舖、住宅,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 屋頂突出物 騎樓
