編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLQLKHJFFAV17DA,45,67.92,住家用,見其他登記事項,58年2月1日,二層,一層 二層
RPRNMLLJLHJFFAV88DA,6,187.12,住家用,見其他登記事項,97年2月22日,三層,一層 二層 三層
RPQNMLOLKHJFFDV86DA,19,27.74,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,五層
RPQNMLOLKHJFFDV86DA,19,6.07,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPPNMLLLKHJFFCV88CA,4,74.59,見其他登記事項,見其他登記事項,98年8月24日,一層,一層
RPRNMLPLKHJFFAV66CA,29,125.70,住家用,鋼筋混凝土加強磚造,73年8月31日,二層,一層 二層
RPVNMLPLKHJFFAV07CA,15,89.19,見其他登記事項,鋼筋混凝土造,87年12月16日,九層,五層
RPVNMLPLKHJFFAV07CA,15,15.21,見其他登記事項,鋼筋混凝土造,87年12月16日,九層,
RPVNMLPLKHJFFAV07CA,15,10.77,見其他登記事項,鋼筋混凝土造,87年12月16日,九層,
RPSNMLPLKHJFFAV76CA,7,240.77,見其他登記事項,見其他登記事項,96年4月3日,三層,二層 三層 一層
RPPOMLPLKHJFFAV56CA,20,186.67,住家用,加強磚造,82年9月9日,三層,三層 一層 二層
RPVNMLLLKHJFFBV76CA,36,56.75,住家用,加強磚造,67年7月15日,一層,一層
RPQNMLKKLHJFFCV88CA,18,101.18,住家用,鋼筋混凝土造,84年11月14日,五層,五層 夾層
RPPNMLLLLHJFFCV98CA,,63.27,見其他登記事項,鋼骨鋼筋混凝土造,102年12月11日,一層,一層
RPPNMLQJLHJFFAV56DA,8,228.03,見其他登記事項,見其他登記事項,94年8月29日,三層,一層 二層 三層 騎樓
RPSNMLQLKHJFFAV86CA,21,369.57,住商用,鋼筋混凝土造,82年1月18日,四層,一層 二層 三層 四層 地下層
SPSNMLQLKHJFFAV96CA,21,369.03,住商用,鋼筋混凝土造,82年1月18日,四層,一層 二層 三層 四層 地下層
